z,id,name,group,file,bbox,anchor,parameters,rig
83,key_13,Keyboard key 13,Keyboard/Keys,source/layers/083_key_13.svg,478 768 40 36,498 784,ParamKeyboardPressL ParamKeyboardPressR,Primary paw strike key. Give this key the strongest press curve.
84,key_14,Keyboard key 14,Keyboard/Keys,source/layers/084_key_14.svg,520 768 40 36,540 784,ParamKeyboardBounce,Individual key layer for rhythmic typing highlights.
85,key_15,Keyboard key 15,Keyboard/Keys,source/layers/085_key_15.svg,562 768 40 36,582 784,ParamKeyboardBounce,Individual key layer for rhythmic typing highlights.
86,key_16,Keyboard key 16,Keyboard/Keys,source/layers/086_key_16.svg,604 768 40 36,624 784,ParamKeyboardBounce,Individual key layer for rhythmic typing highlights.
87,key_17,Keyboard key 17,Keyboard/Keys,source/layers/087_key_17.svg,646 768 40 36,666 784,ParamKeyboardBounce,Individual key layer for rhythmic typing highlights.
88,key_18,Keyboard key 18,Keyboard/Keys,source/layers/088_key_18.svg,382 799 54 34,409 814,ParamKeyboardBounce,Individual key layer for rhythmic typing highlights.
89,key_19,Keyboard key 19,Keyboard/Keys,source/layers/089_key_19.svg,440 799 54 34,467 814,ParamKeyboardBounce,Individual key layer for rhythmic typing highlights.
90,key_20,Keyboard key 20,Keyboard/Keys,source/layers/090_key_20.svg,498 799 54 34,525 814,ParamKeyboardBounce,Individual key layer for rhythmic typing highlights.
91,key_21,Keyboard key 21,Keyboard/Keys,source/layers/091_key_21.svg,556 799 54 34,583 814,ParamKeyboardBounce,Individual key layer for rhythmic typing highlights.
92,key_22,Keyboard key 22,Keyboard/Keys,source/layers/092_key_22.svg,614 799 54 34,641 814,ParamKeyboardBounce,Individual key layer for rhythmic typing highlights.
110,front_paw_left,Left front paw,Paws,source/layers/110_front_paw_left.svg,392 624 102 162,445 650,ParamPawLTap ParamKeyboardPressL ParamBodyAngleZ,"Typing paw. Rotate down onto left home keys, with squash at contact."
111,front_paw_right,Right front paw,Paws,source/layers/111_front_paw_right.svg,530 624 102 162,579 650,ParamPawRTap ParamKeyboardPressR ParamBodyAngleZ,Typing paw. Alternate with left paw on typing_sync motion.
120,head_base,Head base,Head,source/layers/120_head_base.svg,300 280 424 330,512 455,ParamAngleX ParamAngleY ParamAngleZ,Main face mesh. Use ParamAngleX/Y/Z and keep muzzle/eyes as children.
121,cheek_fur_left,Left cheek fur,Head,source/layers/121_cheek_fur_left.svg,304 426 92 90,379 474,ParamAngleX ParamMouthForm,"Small cheek silhouette pieces. Follow head angle, tiny squash on smile."
122,cheek_fur_right,Right cheek fur,Head,source/layers/122_cheek_fur_right.svg,628 426 92 90,645 474,ParamAngleX ParamMouthForm,Mirror cheek silhouette.
123,forehead_tuft,Forehead tuft,Head,source/layers/123_forehead_tuft.svg,442 251 142 128,512 360,ParamAngleZ ParamHairFront,Hair tuft. Add delayed wobble for head motion.
130,muzzle,Muzzle,Face,source/layers/130_muzzle.svg,436 454 152 96,512 504,ParamAngleX ParamMouthOpenY ParamMouthForm,Soft muzzle patch. Minor Y squash on mouth open.
131,nose,Nose,Face,source/layers/131_nose.svg,491 471 42 32,512 492,ParamMouthForm,"Tiny nose. Follow muzzle, no independent mesh needed."
132,mouth,Mouth,Face,source/layers/132_mouth.svg,470 498 84 56,512 520,ParamMouthOpenY ParamMouthForm,Smile curve. Add open-mouth replacement art if voice/TTS is added.
140,eye_left_white,Left eye white,Eyes/Left,source/layers/140_eye_left_white.svg,390 392 76 96,428 442,ParamEyeLOpen ParamEyeBallX ParamEyeBallY ParamAngleX,Eye white. Mask iris and highlight inside this boundary.
141,eye_right_white,Right eye white,Eyes/Right,source/layers/141_eye_right_white.svg,558 392 76 96,596 442,ParamEyeROpen ParamEyeBallX ParamEyeBallY ParamAngleX,Eye white. Mirror left eye.
142,iris_left,Left iris,Eyes/Left,source/layers/142_iris_left.svg,406 409 44 64,428 442,ParamEyeBallX ParamEyeBallY ParamEyeLOpen,Iris should move inside eye mask with eyeball params.
143,iris_right,Right iris,Eyes/Right,source/layers/143_iris_right.svg,574 409 44 64,596 442,ParamEyeBallX ParamEyeBallY ParamEyeROpen,Mirror iris movement.
144,eye_highlight_left,Left eye highlight,Eyes/Left,source/layers/144_eye_highlight_left.svg,415 417 28 28,428 431,ParamEyeBallX ParamEyeBallY,Highlight follows iris at 60 percent strength.
145,eye_highlight_right,Right eye highlight,Eyes/Right,source/layers/145_eye_highlight_right.svg,583 417 28 28,596 431,ParamEyeBallX ParamEyeBallY,Mirror highlight.
146,eyelid_left,Left eyelid,Eyes/Left,source/layers/146_eyelid_left.svg,388 386 82 44,428 407,ParamEyeLOpen,Upper lid. Closes downward on ParamEyeLOpen.
147,eyelid_right,Right eyelid,Eyes/Right,source/layers/147_eyelid_right.svg,554 386 82 44,596 407,ParamEyeROpen,Upper lid. Mirror left lid.
150,brow_left,Left brow,Face,source/layers/150_brow_left.svg,392 357 62 36,424 380,ParamBrowLY ParamBrowLForm,Soft expression brow. Keep subtle.
151,brow_right,Right brow,Face,source/layers/151_brow_right.svg,570 357 62 36,600 380,ParamBrowRY ParamBrowRForm,Mirror brow.
160,blush_left,Left blush,Face,source/layers/160_blush_left.svg,354 481 58 34,383 498,ParamCheek,Expression tint. Fade for happy/break.
161,blush_right,Right blush,Face,source/layers/161_blush_right.svg,612 481 58 34,641 498,ParamCheek,Mirror expression tint.
170,whiskers_left,Left whiskers,Face,source/layers/170_whiskers_left.svg,301 476 138 68,438 505,ParamAngleX ParamMouthForm,Three-stroke whisker layer. Keep vector-like and thin.
171,whiskers_right,Right whiskers,Face,source/layers/171_whiskers_right.svg,585 476 138 68,586 505,ParamAngleX ParamMouthForm,Mirror whiskers.
